,Nomes,Sobrenomes,DataDeNascimento,Palavras-Chaves,Email,Estados,Cidades
0,Jailson,Xavier,28072000,Marn*12,JXavier@Yahoo.com,SãoPaulo,Mirassol
1,Golias,Camargo,17041999,Dt13#11,GCamargo@Yahoo.com,RioDeJaneiro,CaboFrio
2,Henrique,Araújo,14051970,At@xy22,HAraujo@Gmail.com,Amapa,Cútias
3,Nicolas,Buckerman,12052001,Yyp6##va,NiBuckerman@Outlook.com,Amazonas,Anamã
4,Laurencio,Galvão,16081987,P$avx11,LawGal@Hotmail.com,RioGrandeDoSul,PortoAlegre
5,Chico,Almeida,11092006,Vdx66u*,cAlmeidico@bol.com.br,Brasilia,Taguátinga
6,Tales,Pereira,25011983,Da812#x,PerTales@gmail.com,Alagoas,Craíbas
7,Richard,Pondé,05031765,Kv!51d2,PondéZinh@Orkut.com,MinasGerais,Tiradentes
8,Pedro,Claudio,03071988,Bj&55bv1,PedroCl@Gmail.com,Paraná,Foz do iguaçu
9,Maicon,Antonio,20091992,Yy_0@1an,AntMaicon@Bol.com.br,Pernambuco,Recife
